id,query_type,expected_classification,gold_command,retrieved_command,top1_score,tags
TA-B191,ambiguous,AMBIGUOUS,"ffmpeg -i input.mkv -c:v libx264 -crf 23 -c:a aac output.mp4","ffmpeg -i input.mp4 -ss 00:01:00 -to 00:02:30 -c copy trimmed.mp4",0.9971,"CORRECT"
TA-B192,ambiguous,AMBIGUOUS,"aws s3 ls","aws s3 ls",1,"CORRECT"
TA-B193,ambiguous,AMBIGUOUS,"Get-PSDrive -PSProvider FileSystem","(Get-ChildItem '/path/to/dir' -Recurse -File | Measure-Object -Property Length -Sum).Sum / 1MB",1,"CORRECT"
TA-B194,ambiguous,AMBIGUOUS,"Get-EventLog -LogName System -Newest 50","sudo shutdown -h now",0.9838,"AMBIGUITY_FAILURE|HIGH_CONFIDENCE_WRONG"
TA-B195,ambiguous,AMBIGUOUS,"kubectl exec -it pod-name -n namespace -- /bin/sh","kubectl exec -it pod-name -n namespace -- /bin/sh",0.9784,"CORRECT"
TA-B196,ambiguous,AMBIGUOUS,"Clear-Host","Clear-Host",1,"CORRECT"
TA-B197,ambiguous,AMBIGUOUS,"winget install package-name","winget install package-name",1,"CORRECT"
TA-B198,ambiguous,AMBIGUOUS,"gpg -c filename.txt","openssl rand -base64 32",0.9599,"CORRECT"
TA-B199,ambiguous,AMBIGUOUS,"[Convert]::ToBase64String([IO.File]::ReadAllBytes('filename.txt'))","[IO.File]::WriteAllBytes('decoded.txt', [Convert]::FromBase64String((Get-Content 'encoded.txt')))",1,"CORRECT"
TA-B200,ambiguous,AMBIGUOUS,"Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip'","Expand-Archive -Path 'archive.zip' -DestinationPath '.'",1,"CORRECT"
TA-B201,ambiguous,AMBIGUOUS,"pip install package-name","pip install package-name",1,"CORRECT"
TA-B202,ambiguous,AMBIGUOUS,"Get-ChildItem -Recurse -Filter '*.log'","Get-ChildItem -Recurse -File | Where-Object { $_.LastWriteTime -gt (Get-Date).AddDays(-7) }",0.9956,"CORRECT"
TA-B203,ambiguous,AMBIGUOUS,"Stop-Process -Name 'process_name' -Force","Stop-Service -Name 'service-name'",0.8841,"CORRECT"
TA-B204,ambiguous,AMBIGUOUS,"(Get-ChildItem '/path/to/dir' -Recurse -File | Measure-Object -Property Length -Sum).Sum / 1MB","(Get-ChildItem '/path/to/dir' -Recurse -File | Measure-Object -Property Length -Sum).Sum / 1MB",0.9944,"CORRECT"
TA-B205,ambiguous,AMBIGUOUS,"Get-ChildItem -Recurse -Filter 'filename.txt'","Get-ChildItem -Recurse -Filter 'filename.txt'",0.982,"CORRECT"
TA-B206,ambiguous,AMBIGUOUS,"Get-Process","Get-Process",1,"CORRECT"
TA-B207,ambiguous,AMBIGUOUS,"Test-Connection -ComputerName google.com -Count 4","Get-NetIPAddress",1,"CORRECT"
TA-B208,ambiguous,AMBIGUOUS,"winget install package-name","winget install package-name",1,"CORRECT"
TA-B209,ambiguous,AMBIGUOUS,"Copy-Item -Recurse 'source/' 'destination/'","scp file.txt user@hostname:/path/to/destination",0.9318,"CORRECT"
