id	category	intent	command	description
tac-0415	aws	list all s3 buckets in the aws account	aws s3 ls	Display all S3 buckets accessible in the current AWS profile
tac-0416	aws	get the public ip of a running ec2 instance	aws ec2 describe-instances --instance-ids i-1234567890abcdef0 --query 'Reservations[0].Instances[0].PublicIpAddress' --output text	Query the public IPv4 address of a specific EC2 instance
tac-0417	docker	create a docker volume	docker volume create my-volume	Create a named Docker volume for persistent container storage
tac-0418	docker	list all docker volumes	docker volume ls	Show all Docker volumes on the local host
tac-0419	docker	remove all unused docker volumes	docker volume prune -f	Delete all volumes not referenced by any container
tac-0420	docker	create a docker network	docker network create my-network	Create a user-defined bridge network for container communication
tac-0421	docker	connect a running container to a docker network	docker network connect my-network container-name	Attach a running container to an existing Docker network
tac-0423	system	show open file handles for a running process	Get-Process -Id <PID> | Select-Object -ExpandProperty Modules	List all modules and handles loaded by a specific process ID
tac-0427	network	check which process is using a specific port	Get-NetTCPConnection -LocalPort 3000 | Select-Object -Property LocalPort,State,OwningProcess | ForEach-Object { $_ | Add-Member -PassThru NoteProperty ProcessName (Get-Process -Id $_.OwningProcess).ProcessName }	Identify the process currently bound to TCP port 3000
tac-0429	system	display system memory map and check for overcommit	Get-CimInstance Win32_OperatingSystem | Select-Object TotalVirtualMemorySize,FreeVirtualMemory,TotalVisibleMemorySize,FreePhysicalMemory	Show detailed memory statistics including virtual and physical memory
