id,query,category,query_type,difficulty,risk_level,expected_classification,gold_command,actual_retrieved,actual_command,actual_score,actual_confidence,latency_ms,evaluation_status,error_category,gold_status
TA-B138,deploy my kubernetes cluster to production with rolling updates,kubernetes,complex_multi_intent,hard,low,CORRECT,kubectl apply -f manifest.yaml,true,kubectl get events --sort-by='.lastTimestamp' -n namespace,8.578,100,2.3389,INCORRECT,complex_intent_failure,VALIDATED
TA-B139,show me who changed each line in the README and when they did it,git,complex_multi_intent,medium,low,CORRECT,git blame filename.txt,true,git blame filename.txt,14.9068,100,2.3897,CORRECT,,VALIDATED
TA-B140,copy my ssh key to the server so I don't have to enter a password,ssh,complex_multi_intent,medium,low,CORRECT,ssh-copy-id user@hostname,true,ssh-copy-id user@hostname,19.3986,100,2.7845,CORRECT,,VALIDATED
TA-B141,find the commit that broke my tests using binary search,git,complex_multi_intent,hard,low,CORRECT,git bisect start && git bisect bad HEAD && git bisect good <good-commit>,true,git bisect start && git bisect bad HEAD && git bisect good <good-commit>,18.8717,100,2.3712,CORRECT,,VALIDATED
TA-B142,squash my last 5 commits into one before pushing,git,complex_multi_intent,hard,high,CORRECT,git rebase -i HEAD~5,true,git rebase -i HEAD~5,19.7768,100,2.8914,CORRECT,,VALIDATED
TA-B143,create a zip archive of this folder and name it backup.zip,archive,complex_multi_intent,medium,low,CORRECT,Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip',true,Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip',15.2659,100,2.825,CORRECT,,VALIDATED
TA-B144,forward port 8080 on my machine to port 80 on the kubernetes pod,kubernetes,complex_multi_intent,hard,low,CORRECT,kubectl port-forward pod/pod-name 8080:80 -n namespace,true,kubectl port-forward pod/pod-name 8080:80 -n namespace,28.6582,100,2.4135,CORRECT,,VALIDATED
TA-B145,set up an SSH tunnel to access a remote database on port 5432,ssh,complex_multi_intent,hard,low,NEEDS_CORRECTION,ssh -L 5432:localhost:5432 user@hostname,true,ssh -L 8080:localhost:80 user@hostname,16.8841,100,2.4709,INCORRECT,complex_intent_failure,NEEDS_CORRECTION
TA-B146,monitor which processes are using the most CPU and sort them,process,complex_multi_intent,medium,low,CORRECT,Get-Process | Sort-Object CPU -Descending,true,Get-Process | Sort-Object CPU -Descending,12.5807,100,2.7905,CORRECT,,VALIDATED
TA-B147,encrypt this sensitive document so nobody else can read it,security,complex_multi_intent,medium,low,CORRECT,gpg -c filename.txt,true,gpg -c filename.txt,7.7952,97,2.5789,CORRECT,,VALIDATED
TA-B148,download a large file and resume if the connection drops,curl,complex_multi_intent,hard,low,CORRECT,curl -C - -O https://example.com/largefile.zip,true,curl -C - -O https://example.com/largefile.zip,11.7845,100,2.8681,CORRECT,,VALIDATED
TA-B149,find which process is hogging port 3000 on my machine,network,complex_multi_intent,hard,low,CORRECT,"Get-NetTCPConnection -LocalPort 3000 | Select-Object -Property LocalPort,State,OwningProcess | ForEach-Object { $_ | Add-Member -PassThru NoteProperty ProcessName (Get-Process -Id $_.OwningProcess).ProcessName }",true,"Get-NetTCPConnection -LocalPort 3000 | Select-Object -Property LocalPort,State,OwningProcess | ForEach-Object { $_ | Add-Member -PassThru NoteProperty ProcessName (Get-Process -Id $_.OwningProcess).ProcessName }",17.709,100,2.8606,CORRECT,,VALIDATED
TA-B150,take a specific file from the feature branch without merging everything,git,complex_multi_intent,hard,medium,CORRECT,git checkout feature-branch -- path/to/file.txt,true,git checkout feature-branch -- path/to/file.txt,13.8067,100,2.5847,CORRECT,,VALIDATED
