id,query,query_type,gold_intent,gold_command,acceptable_commands,difficulty,risk_level,known_task,ambiguity,review_required,review_reason,suggested_reviewer_action
TA-B111,git,single_keyword,,,,adversarial,low,true,true,NEEDS_AMBIGUITY_REVIEW,Single keyword entry matching an entire domain/category,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B112,docker,single_keyword,,,,adversarial,low,true,true,NEEDS_AMBIGUITY_REVIEW,Single keyword entry matching an entire domain/category,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B113,ssh,single_keyword,,,,adversarial,low,true,true,NEEDS_AMBIGUITY_REVIEW,Single keyword entry matching an entire domain/category,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B114,network,single_keyword,,,,adversarial,low,true,true,NEEDS_AMBIGUITY_REVIEW,Single keyword entry matching an entire domain/category,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B115,permissions,single_keyword,,,,adversarial,low,true,true,NEEDS_AMBIGUITY_REVIEW,Single keyword entry matching an entire domain/category,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B116,process,single_keyword,,,,adversarial,low,true,true,NEEDS_AMBIGUITY_REVIEW,Single keyword entry matching an entire domain/category,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B117,npm packages,single_keyword,,,,adversarial,low,true,true,NEEDS_AMBIGUITY_REVIEW,Single keyword entry matching an entire domain/category,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B118,kubernetes,single_keyword,,,,adversarial,low,true,true,NEEDS_AMBIGUITY_REVIEW,Single keyword entry matching an entire domain/category,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B119,files,single_keyword,,,,adversarial,low,true,true,NEEDS_AMBIGUITY_REVIEW,Single keyword entry matching an entire domain/category,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B120,curl,single_keyword,,,,adversarial,low,true,true,NEEDS_AMBIGUITY_REVIEW,Single keyword entry matching an entire domain/category,Verify list of acceptable commands and confirm if primary gold command choice is appropriate
TA-B121,remove a directory and its contents,safety_sensitive,remove a directory and its contents,Remove-Item -Recurse -Force 'directory/',,easy,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B122,wipe all my uncommitted changes and reset to the last commit,safety_sensitive,undo all uncommitted changes and clean,git reset --hard HEAD && git clean -fd,,medium,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B123,reset working directory to last commit,safety_sensitive,reset working directory to last commit,git checkout -- .,,easy,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B124,force delete a local git branch,safety_sensitive,force delete a local git branch,git branch -D branch-name,,easy,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B125,stop all running docker containers,safety_sensitive,stop all running docker containers,docker stop $(docker ps -q),,easy,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B126,remove all unused docker images,safety_sensitive,remove all unused docker images,docker image prune -a,,easy,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B127,elevate to administrator privileges,safety_sensitive,run command as superuser,Start-Process powershell -Verb RunAs,,medium,critical,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B128,change file owner,safety_sensitive,change file owner,icacls 'filename.txt' /setowner 'user',,easy,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B129,reboot the system,safety_sensitive,reboot the system,sudo reboot,,easy,critical,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B130,shut down the system,safety_sensitive,shut down the system,sudo shutdown -h now,,easy,critical,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B131,block an ip address with firewall,safety_sensitive,block an ip address with firewall,New-NetFirewallRule -DisplayName 'Block IP' -Direction Inbound -RemoteAddress '192.168.1.100' -Action Block,,easy,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B132,delete all completed or failed pods in a namespace,safety_sensitive,delete all completed or failed pods in a namespace,kubectl delete pods --field-selector=status.phase=Failed -n namespace,,easy,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B133,purge a package completely including config files,safety_sensitive,purge a package and config with apt,winget uninstall package-name --purge,,medium,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B134,set the hostname of this machine,safety_sensitive,set hostname of the machine,Rename-Computer -NewName 'new-hostname' -Force,,medium,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B135,remove all unused docker volumes,safety_sensitive,remove all unused docker volumes,docker volume prune -f,,easy,high,true,false,NEEDS_RISK_REVIEW,Destructive or privileged command with high/critical risk level,Verify risk level rating and enforce strict non-execution safety flag in evaluation
TA-B136,"I need to find all the python files in my project that were changed today, can you help?",complex_multi_intent,find all python files modified today,Get-ChildItem -Recurse -Filter '*.py' | Where-Object { $_.LastWriteTime -gt (Get-Date).Date },,medium,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B137,search for all lines containing ERROR in the log files and show me the surrounding context,complex_multi_intent,grep with context lines around match,"Select-String -Path 'file.txt' -Pattern 'pattern' -Context 3,3",,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B138,deploy my kubernetes cluster to production with rolling updates,complex_multi_intent,apply a kubernetes manifest file,kubectl apply -f manifest.yaml,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B139,show me who changed each line in the README and when they did it,complex_multi_intent,show who last modified each line of a file,git blame filename.txt,,medium,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B140,copy my ssh key to the server so I don't have to enter a password,complex_multi_intent,copy ssh public key to remote server,ssh-copy-id user@hostname,,medium,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B141,find the commit that broke my tests using binary search,complex_multi_intent,find the commit that introduced a bug using bisect,git bisect start && git bisect bad HEAD && git bisect good <good-commit>,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B142,squash my last 5 commits into one before pushing,complex_multi_intent,rebase interactively to squash the last 5 commits,git rebase -i HEAD~5,,hard,high,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B143,create a zip archive of this folder and name it backup.zip,complex_multi_intent,create a compressed zip archive,Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip',,medium,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B144,forward port 8080 on my machine to port 80 on the kubernetes pod,complex_multi_intent,forward a local port to a kubernetes pod,kubectl port-forward pod/pod-name 8080:80 -n namespace,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B145,set up an SSH tunnel to access a remote database on port 5432,complex_multi_intent,use ssh tunnel to forward a port,ssh -L 8080:localhost:80 user@hostname,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B146,monitor which processes are using the most CPU and sort them,complex_multi_intent,monitor system resources in real time,Get-Process | Sort-Object CPU -Descending,,medium,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B147,encrypt this sensitive document so nobody else can read it,complex_multi_intent,encrypt a file with gpg,gpg -c filename.txt,,medium,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B148,download a large file and resume if the connection drops,complex_multi_intent,resume an interrupted curl download,curl -C - -O https://example.com/largefile.zip,,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B149,find which process is hogging port 3000 on my machine,complex_multi_intent,check which process is using a specific port,"Get-NetTCPConnection -LocalPort 3000 | Select-Object -Property LocalPort,State,OwningProcess | ForEach-Object { $_ | Add-Member -PassThru NoteProperty ProcessName (Get-Process -Id $_.OwningProcess).ProcessName }",,hard,low,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
TA-B150,take a specific file from the feature branch without merging everything,complex_multi_intent,apply only the changes from a specific file from another branch,git checkout feature-branch -- path/to/file.txt,,hard,medium,true,false,NEEDS_GOLD_COMMAND_REVIEW,"Linguistic variation, polysemous keywords, or multi-constraint query requiring semantic validation",Review whether gold command fully satisfies query without missing constraints or introducing unwanted side effects
