id,query,gold_intent,gold_command,acceptable_commands,category,difficulty,query_type,risk_level,known_task,ambiguity,requires_rejection,source_intent_id,notes,annotation_status
TA-B167,compose a song in the style of jazz,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.56, top dense similarity 0.1745 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B168,give me a tarot card reading,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.72, top dense similarity 0.1778 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B169,interpret my dream about flying,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 6.33, top dense similarity 0.1792 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B170,recommend a good movie to watch tonight,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.42, top dense similarity 0.1439 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B171,help me train for a marathon,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.2089 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B172,diagnose why my car won't start,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 5.55, top dense similarity 0.2356 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B173,water my garden automatically,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.94, top dense similarity 0.2031 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B174,assemble my new bookshelf furniture,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.30, top dense similarity 0.0886 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B175,bake a chocolate cake,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.2397 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B176,brew a batch of homemade beer,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.04, top dense similarity 0.1789 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B177,mine cryptocurrency on my GPU,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.2757 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B178,model a 3D character in Blender,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 5.05, top dense similarity 0.1695 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B179,mod my video game with custom skins,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 7.39, top dense similarity 0.1090 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B180,schedule a therapy appointment,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.72, top dense similarity 0.3136 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B181,get my horoscope for today,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 5.70, top dense similarity 0.1837 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B182,write a cover letter for a job application,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 5.44, top dense similarity 0.2742 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B183,plan my wedding seating chart,,,,,easy,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.1531 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified easy: negligible overlap with any corpus command.",verified
TA-B184,choose a paint color for my bedroom,,,,,easy,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 0.00, top dense similarity 0.0459 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified easy: negligible overlap with any corpus command.",verified
TA-B185,find a babysitter for Friday night,,,,,hard,ood,low,false,false,true,,"v0.2 addition. Verified OOD: top lexical score 4.55, top dense similarity 0.1640 (both well below confident-match range; canonical matches score 40+, dense correct-match mean ~0.98). Classified hard: incidental lexical/semantic overlap with an unrelated corpus command makes this non-trivial to reject.",verified
TA-B186,grep,,Select-String -Path 'file.txt' -Pattern 'pattern1|pattern2',Get-ChildItem -Recurse -File | Where-Object { Select-String -Path $_.FullName -Pattern 'pattern' -Quiet }; Get-Content 'file.txt' | Where-Object { $_ -notmatch 'pattern' },grep,hard,ambiguous,low,true,true,false,,v0.2 addition. search a file vs recursive search vs inverse-match filter are genuinely distinct grep-family tasks,verified
TA-B187,tar,,tar -xzf archive.tar.gz,tar -czf archive.tar.gz directory/; tar -tzf archive.tar.gz; tar -cf archive.tar directory/,tar,hard,ambiguous,medium,true,true,false,,"v0.2 addition. extract vs compress vs list vs create-uncompressed are genuinely distinct tar operations. Adversarial case: bare ""tar"" fails to lexically surface these via BM25 because intents containing ""tar.gz"" tokenize into a single merged ""targz"" token (punctuation-stripping tokenizer bug/limitation), not because the commands do not exist -- a genuine, documented lexical-gap finding, not a forced inclusion.",verified
TA-B188,sed,,"(Get-Content 'filename.txt') -replace 'old','new' | Set-Content 'filename.txt'",(Get-Content 'filename.txt')[4]; Get-Content 'filename.txt' | Where-Object { $_ -notmatch 'pattern' } | Set-Content 'filename.txt',sed,hard,ambiguous,medium,true,true,false,,v0.2 addition. replace-text vs extract-line vs delete-matching-lines are genuinely distinct sed-family tasks,verified
TA-B189,awk,,Import-Csv 'file.csv' | Select-Object -ExpandProperty ColumnName,(Import-Csv 'file.txt' -Header Val | Measure-Object -Property Val -Sum).Sum; Get-Content 'file.txt' | ForEach-Object { ($_ -split '\s+').Count },awk,hard,ambiguous,low,true,true,false,,v0.2 addition. extract column vs sum column vs count words per line are genuinely distinct awk-family tasks,verified
TA-B190,jq,,(Get-Content data.json | ConvertFrom-Json).users.Count,Get-Content data.json | ConvertFrom-Json | Select-Object -ExpandProperty users | Select-Object -ExpandProperty name,jq,hard,ambiguous,low,true,true,false,,v0.2 addition. count array elements vs extract nested field are genuinely distinct jq-family tasks,verified
TA-B191,ffmpeg,,ffmpeg -i input.mkv -c:v libx264 -crf 23 -c:a aac output.mp4,"ffmpeg -i input.mp4 -ss 00:01:00 -to 00:02:30 -c copy trimmed.mp4; ffmpeg -i input.mp4 -vf ""fps=10,scale=640:-1"" -loop 0 output.gif",ffmpeg,hard,ambiguous,low,true,true,false,,v0.2 addition. transcode vs trim vs convert-to-gif are genuinely distinct ffmpeg tasks,verified
TA-B192,aws,,aws s3 ls,aws ec2 describe-instances --instance-ids i-1234567890abcdef0 --query 'Reservations[0].Instances[0].PublicIpAddress' --output text; aws s3 sync ./local-dir s3://my-bucket/prefix/ --delete,aws,hard,ambiguous,medium,true,true,false,,"v0.2 addition. S3 listing vs EC2 instance query vs S3 sync are genuinely distinct AWS services/operations. System heavily favors ""aws s3 ls"" by raw score (21.0 vs 3.7) despite the query being genuinely ambiguous by definition -- a good overmatching test case, similar in spirit to the existing ""git""/""docker"" bare-keyword ambiguous queries.",verified
TA-B193,disk,,Get-PSDrive -PSProvider FileSystem,(Get-ChildItem '/path/to/dir' -Recurse -File | Measure-Object -Property Length -Sum).Sum / 1MB,disk,hard,ambiguous,low,true,true,false,,v0.2 addition. list drives/volumes vs compute a specific folder's size are genuinely distinct disk-related tasks,verified
TA-B194,system,,Get-EventLog -LogName System -Newest 50,sudo reboot,system,hard,ambiguous,high,true,true,false,,"v0.2 addition. view system event logs vs reboot the system are genuinely distinct, high-stakes-difference interpretations",verified
TA-B195,shell,,kubectl exec -it pod-name -n namespace -- /bin/sh,Set-Alias -Name ll -Value Get-ChildItem; $env:VAR_NAME,shell,hard,ambiguous,medium,true,true,false,,v0.2 addition. open an interactive shell in a container vs shell configuration (alias/env var) are genuinely distinct interpretations,verified
TA-B196,terminal,,Clear-Host,tmux attach -t session-name; screen -r session-name,terminal,hard,ambiguous,low,true,true,false,,v0.2 addition. clear the terminal display vs re-attach to a terminal multiplexer session are genuinely distinct interpretations,verified
TA-B197,package,,winget install package-name,winget uninstall package-name; winget uninstall package-name --purge,package,hard,ambiguous,medium,true,true,false,,v0.2 addition. install vs uninstall vs purge-uninstall are genuinely opposite/distinct package operations,verified
TA-B198,security,,gpg -c filename.txt,gpg -d filename.txt.gpg; openssl rand -base64 32,security,hard,ambiguous,medium,true,true,false,,v0.2 addition. encrypt vs decrypt a file vs generate a random key are genuinely distinct security tasks,verified
TA-B199,encoding,,[Convert]::ToBase64String([IO.File]::ReadAllBytes('filename.txt')),"[IO.File]::WriteAllBytes('decoded.txt', [Convert]::FromBase64String((Get-Content 'encoded.txt')))",encoding,hard,ambiguous,low,true,true,false,,v0.2 addition. encode vs decode base64 are genuinely opposite interpretations,verified
TA-B200,archive,,Compress-Archive -Path 'directory/*' -DestinationPath 'archive.zip',Expand-Archive -Path 'archive.zip' -DestinationPath '.',archive,hard,ambiguous,medium,true,true,false,,v0.2 addition. compress vs extract are genuinely opposite archive operations,verified
TA-B201,pip,,pip install package-name,pip uninstall package-name; pip freeze > requirements.txt,pip,hard,ambiguous,medium,true,true,false,,v0.2 addition. install vs uninstall vs list-installed are genuinely distinct pip tasks,verified
TA-B202,find,,Get-ChildItem -Recurse -Filter '*.log',Get-ChildItem -Recurse -File | Where-Object { $_.Length -gt 100MB }; Get-ChildItem -Recurse -File | Where-Object { $_.LastWriteTime -gt (Get-Date).AddDays(-7) },find,hard,ambiguous,low,true,true,false,,"v0.2 addition. find by extension vs find by size vs find by recency are genuinely distinct find tasks, even though implemented via the same underlying cmdlet family",verified
TA-B203,stop a process,,Stop-Process -Name 'process_name' -Force,Stop-Service -Name 'service-name'; docker stop $(docker ps -q),process,hard,ambiguous,high,true,true,false,,"v0.2 addition. stop an OS process vs a Windows service vs all docker containers are genuinely distinct scopes for ""a process""",verified
TA-B204,check disk usage,,(Get-ChildItem '/path/to/dir' -Recurse -File | Measure-Object -Property Length -Sum).Sum / 1MB,docker system df,disk,hard,ambiguous,low,true,true,false,,v0.2 addition. host filesystem usage vs docker-specific disk usage are genuinely distinct scopes,verified
TA-B205,search for a file,,Get-ChildItem -Recurse -Filter 'filename.txt',Get-ChildItem -Recurse -File | Select-String -Pattern 'pattern' -CaseSensitive:$false; winget search package-name,find,hard,ambiguous,low,true,true,false,,"v0.2 addition. search by filename vs search file contents vs search installable packages are genuinely distinct interpretations of ""search for a file""-adjacent phrasing",verified
TA-B206,list running processes,,Get-Process,docker ps; kubectl get pods --all-namespaces,process,hard,ambiguous,low,true,true,false,,"v0.2 addition. OS processes vs docker containers vs kubernetes pods are genuinely distinct scopes for ""running processes""",verified
TA-B207,check network connection,,Test-Connection -ComputerName google.com -Count 4,Get-NetIPAddress; Resolve-DnsName example.com,network,hard,ambiguous,low,true,true,false,,v0.2 addition. ping test vs view local IP config vs DNS resolution are genuinely distinct network-check tasks,verified
TA-B208,install a package,,winget install package-name,pip install package-name; npm install package-name,package,hard,ambiguous,medium,true,true,false,,"v0.2 addition. system package manager vs Python vs npm are genuinely distinct ecosystems, despite winget scoring far higher by raw BM25 (25.0 vs ~9-10) -- a real overmatching test case",verified
TA-B209,copy a file,,Copy-Item -Recurse 'source/' 'destination/',scp file.txt user@hostname:/path/to/destination; docker cp container-name:/path/in/container ./local-path,filesystem,hard,ambiguous,low,true,true,false,,v0.2 addition. local copy vs remote (scp) copy vs docker container copy are genuinely distinct scopes,verified
